Tiempo (s),Voltaje Pico-Pico (V),Ajuste (V),Residuales (V)
11.6799994000,17.3999996000,17.5264031052,-0.1264035052
11.6999998000,17.3999996000,17.4874124192,-0.0874128192
11.7199993000,17.6000004000,17.4377010177,0.1622993823
11.7399998000,17.2000008000,17.3780257848,-0.1780249848
11.7599993000,17.2000008000,17.3092572578,-0.1092564578
11.7799997000,17.3999996000,17.2323447089,0.1676548911
11.8000002000,17.0000000000,17.1483248114,-0.1483248114
11.8199997000,17.0000000000,17.0583018575,-0.0583018575
11.8400002000,17.0000000000,16.9634172512,0.0365827488
11.8599997000,16.8000011000,16.8648677030,-0.0648666030
11.8800001000,16.8000011000,16.7638536136,0.0361474864
11.8999996000,16.6000004000,16.6616017167,-0.0616013167
11.9200001000,16.3999996000,16.5593136880,-0.1593140880
11.9399996000,16.6000004000,16.4581907591,0.1418096409
11.9600000000,16.2000008000,16.3593805506,-0.1593797506
11.9799995000,16.2000008000,16.2640023965,-0.0640015965
12.0000000000,16.2000008000,16.1730989247,0.0269018753
12.0199995000,16.0000000000,16.0876607347,-0.0876607347
12.0400000000,16.0000000000,16.0085805384,-0.0085805384
12.0599995000,16.0000000000,15.9366780082,0.0633219918
12.0799999000,15.8000002000,15.8726607121,-0.0726605121
12.0999994000,15.8000002000,15.8171448148,-0.0171446148
12.1199999000,15.8000002000,15.7706262093,0.0293739907
12.1399994000,15.6000004000,15.7334973176,-0.1334969176
12.1599998000,15.6000004000,15.7060264481,-0.1060260481
12.1799994000,15.6000004000,15.6883708335,-0.0883704335
12.1999998000,15.6000004000,15.6805670186,-0.0805666186
12.2199993000,15.8000002000,15.6825382317,0.1174619683
12.2399998000,15.6000004000,15.6940949125,-0.0940945125
12.2599993000,15.8000002000,15.7149377784,0.0850624216
12.2799997000,15.6000004000,15.7446675907,-0.1446671907
12.3000002000,15.8000002000,15.7827860834,0.0172141166
12.3199997000,16.0000000000,15.8287037548,0.1712962452
12.3400002000,15.8000002000,15.8817575420,-0.0817573420
12.3599997000,15.8000002000,15.9412028997,-0.1412026997
12.3800001000,16.0000000000,16.0062443388,-0.0062443388
12.3999996000,16.0000000000,16.0760235426,-0.0760235426
12.4200001000,16.3999996000,16.1496540268,0.2503455732
12.4399996000,16.2000008000,16.2262058013,-0.0262050013
12.4600000000,16.2000008000,16.3047451422,-0.1047443422
12.4799995000,16.2000008000,16.3843170352,-0.1843162352
12.5000000000,16.6000004000,16.4639851598,0.1360152402
12.5199995000,16.6000004000,16.5428127618,0.0571876382
12.5400000000,16.6000004000,16.6199044683,-0.0199040683
12.5599995000,16.8000011000,16.6943850426,0.1056160574
12.5799999000,16.6000004000,16.7654391608,-0.1654387608
12.5999994000,16.8000011000,16.8322920164,-0.0322909164
12.6199999000,16.8000011000,16.8942434471,-0.0942423471
12.6399994000,16.8000011000,16.9506499659,-0.1506488659
12.6599998000,17.0000000000,17.0009550289,-0.0009550289
12.6799994000,16.8000011000,17.0446730346,-0.2446719346
12.6999998000,16.8000011000,17.0814110381,-0.2814099381
12.7199993000,17.0000000000,17.1108575757,-0.1108575757
12.7399998000,17.2000008000,17.1327970931,0.0672037069
12.7599993000,17.2000008000,17.1471002268,0.0529005732
12.7799997000,17.0000000000,17.1537322593,-0.1537322593
12.7999992000,17.0000000000,17.1527463667,-0.1527463667
12.8199997000,17.0000000000,17.1442839242,-0.1442839242
12.8400002000,17.2000008000,17.1285709319,0.0714298681
12.8599997000,17.0000000000,17.1059153638,-0.1059153638
12.8800001000,17.0000000000,17.0766973615,-0.0766973615
12.8999996000,17.0000000000,17.0413716125,-0.0413716125
12.9200001000,16.8000011000,17.0004501949,-0.2004490949
12.9399996000,17.0000000000,16.9545089517,0.0454910483
12.9600000000,17.0000000000,16.9041640321,0.0958359679
12.9799995000,16.8000011000,16.8500810411,-0.0500799411
13.0000000000,16.8000011000,16.7929481827,0.0070529173
13.0199995000,16.6000004000,16.7334881237,-0.1334877237
13.0400000000,16.8000011000,16.6724268005,0.1275742995
13.0599995000,16.6000004000,16.6105082609,-0.0105078609
13.0799999000,16.6000004000,16.5484620285,0.0515383715
13.0999994000,16.3999996000,16.4870179416,-0.0870183416
13.1199999000,16.3999996000,16.4268751305,-0.0268755305
13.1399994000,16.3999996000,16.3687173124,0.0312822876
13.1599998000,16.2000008000,16.3131820498,-0.1131812498
13.1799994000,16.3999996000,16.2608756200,0.1391239800
13.1999998000,16.2000008000,16.2123475827,-0.0123467827
13.2199993000,16.3999996000,16.1681022923,0.2318973077
13.2399998000,16.2000008000,16.1285775038,0.0714232962
13.2599993000,15.8000002000,16.0941565584,-0.2941563584
13.2799997000,16.0000000000,16.0651496973,-0.0651496973
13.2999992000,16.0000000000,16.0418046791,-0.0418046791
13.3199997000,16.0000000000,16.0242944209,-0.0242944209
13.3400002000,16.0000000000,16.0127244156,-0.0127244156
13.3599997000,16.0000000000,16.0071280551,-0.0071280551
13.3800001000,16.2000008000,16.0074679298,0.1925328702
13.3999996000,16.0000000000,16.0136387157,-0.0136387157
13.4200001000,16.0000000000,16.0254696686,-0.0254696686
13.4399996000,16.0000000000,16.0427252961,-0.0427252961
13.4600000000,16.0000000000,16.0651137259,-0.0651137259
13.4799995000,16.2000008000,16.0922847709,0.1077160291
13.5000000000,16.0000000000,16.1238431156,-0.1238431156
13.5199995000,16.0000000000,16.1593434452,-0.1593434452
13.5400000000,16.3999996000,16.1983087673,0.2016908327
13.5599995000,16.2000008000,16.2402225717,-0.0402217717
13.5799999000,16.2000008000,16.2845505843,-0.0845497843
13.5999994000,16.2000008000,16.3307317269,-0.1307309269
13.6199999000,16.3999996000,16.3782011913,0.0217984087
13.6399994000,16.6000004000,16.4263798074,0.1736205926
13.6599998000,16.6000004000,16.4746992153,0.1253011847
13.6799994000,16.3999996000,16.5225905745,-0.1225909745
13.6999998000,16.6000004000,16.5695075517,0.0304928483
13.7199993000,16.6000004000,16.6149167902,-0.0149163902
13.7399998000,16.8000011000,16.6583197438,0.1416813562
13.7599993000,16.8000011000,16.6992412161,0.1007598839
13.7799997000,16.8000011000,16.7372511272,0.0627499728
13.7999992000,16.8000011000,16.7719534124,0.0280476876
13.8199997000,16.8000011000,16.8030038566,-0.0030027566
13.8400002000,17.0000000000,16.8301015953,0.1698984047
13.8599997000,16.8000011000,16.8529976621,-0.0529965621
13.8800001000,16.8000011000,16.8714994688,-0.0714983688
13.8999996000,17.0000000000,16.8854650472,0.1145349528
13.9200001000,17.0000000000,16.8948105633,0.1051894367
13.9399996000,17.0000000000,16.8995051934,0.1004948066
13.9600000000,17.0000000000,16.8995741666,0.1004258334
13.9799995000,17.0000000000,16.8950956393,0.1049043607
14.0000000000,16.8000011000,16.8861989172,-0.0861978172
14.0199995000,16.8000011000,16.8730638502,-0.0730627502
14.0400000000,16.8000011000,16.8559143801,-0.0559132801
14.0599995000,16.8000011000,16.8350203308,-0.0350192308
14.0799999000,16.8000011000,16.8106868882,-0.0106857882
14.0999994000,16.8000011000,16.7832581415,0.0167429585
14.1199999000,16.8000011000,16.7531035890,0.0468975110
14.1399994000,16.6000004000,16.7206237050,-0.1206233050
14.1599998000,16.8000011000,16.6862332012,0.1137678988
14.1799994000,16.6000004000,16.6503678328,-0.0503674328
14.1999998000,16.6000004000,16.6134673935,-0.0134669935
14.2199993000,16.6000004000,16.5759821371,0.0240182629
14.2399998000,16.6000004000,16.5383548304,0.0616455696
14.2599993000,16.6000004000,16.5010295523,0.0989708477
14.2799997000,16.6000004000,16.4644320850,0.1355683150
14.2999992000,16.6000004000,16.4289792075,0.1710211925
14.3199997000,16.3999996000,16.3950607113,0.0049388887
14.3400002000,16.3999996000,16.3630469767,0.0369526233
14.3599997000,16.3999996000,16.3332795433,0.0667200567
14.3800001000,16.2000008000,16.3060637285,-0.1060629285
14.3999996000,16.2000008000,16.2816751515,-0.0816743515
14.4200001000,16.2000008000,16.2603471476,-0.0603463476
14.4399996000,16.3999996000,16.2422778087,0.1577217913
14.4600000000,16.0000000000,16.2276201010,-0.2276201010
14.4799995000,16.2000008000,16.2164876851,-0.0164868851
14.5000000000,16.3999996000,16.2089489351,0.1910506649
14.5199995000,16.2000008000,16.2050309897,-0.0050301897
14.5400000000,16.3999996000,16.2047172521,0.1952823479
14.5599995000,16.2000008000,16.2079498769,-0.0079490769
14.5799999000,16.2000008000,16.2146309741,-0.0146301741
14.5999994000,16.2000008000,16.2246233207,-0.0246225207
14.6199999000,16.2000008000,16.2377550462,-0.0377542462
14.6399994000,16.2000008000,16.2538184231,-0.0538176231
14.6599998000,16.2000008000,16.2725779220,-0.0725771220
14.6799994000,16.3999996000,16.2937676230,0.1062319770
14.6999998000,16.3999996000,16.3171010791,0.0828985209
14.7199993000,16.3999996000,16.3422681449,0.0577314551
14.7399998000,16.3999996000,16.3689469641,0.0310526359
14.7599993000,16.3999996000,16.3967985844,0.0032010156
14.7799997000,16.3999996000,16.4254814137,-0.0254818137
14.7999992000,16.3999996000,16.4546448793,-0.0546452793
14.8199997000,16.6000004000,16.4839440713,0.1160563287
14.8399992000,16.3999996000,16.5130327711,-0.1130331711
14.8599997000,16.3999996000,16.5415788696,-0.1415792696
14.8800001000,16.6000004000,16.5692577885,0.0307426115
14.8999996000,16.6000004000,16.5957611411,0.0042392589
14.9200001000,16.6000004000,16.6208029917,-0.0208025917
14.9399996000,16.6000004000,16.6441143588,-0.0441139588
14.9600000000,16.8000011000,16.6654556546,0.1345454454
14.9799995000,16.8000011000,16.6846102265,0.1153908735
15.0000000000,16.6000004000,16.7013942389,-0.1013938389
15.0199995000,16.8000011000,16.7156511563,0.0843499437
15.0400000000,16.6000004000,16.7272595856,-0.1272591856
15.0599995000,16.8000011000,16.7361284846,0.0638726154
15.0799999000,16.8000011000,16.7422022450,0.0577988550
15.0999994000,16.8000011000,16.7454573518,0.0545437482
15.1199999000,16.8000011000,16.7459043205,0.0540967795
15.1399994000,16.8000011000,16.7435858432,0.0564152568
15.1599998000,16.6000004000,16.7385759181,-0.1385755181
15.1799994000,16.8000011000,16.7309792021,0.0690218979
15.1999998000,16.8000011000,16.7209276758,0.0790734242
15.2199993000,16.6000004000,16.7085810957,-0.1085806957
